route_id,route_short_name,route_long_name,bunching_events,avg_stop_gap
307,307,Bathurst,2225,0.559
395,395,York Mills,1509,0.754
335,335,Jane,1475,0.593
386,386,Scarborough,1451,0.615
169,169,Huntingwood,1396,0.802
166,166,Toryork,1382,0.695
315,315,Evans-Brown's Line,1373,0.629
78,78,St Andrews,1362,0.637
343,343,Kennedy,1281,0.463
353,353,Steeles,1249,0.654
98,98,Willowdale-Senlac,1178,0.719
322,322,Coxwell,1087,0.578
49,49,Bloor West,1004,0.518
55,55,Warren Park,884,0.424
325,325,Don Mills,880,0.532
352,352,Lawrence West,674,0.556
77,77,Swansea,670,0.643
363,363,Ossington,666,0.583
341,341,Keele,665,0.624
339,339,Finch East,564,0.571
396,396,Wilson,452,0.619
82,82,Rosedale,353,0.759
30,30,High Park North,188,0.702
384,384,Sheppard West,182,0.516
337,337,Islington,128,0.438
184,184,Ancaster Park,112,0.688
882,,,59,0.000
340,340,Junction,57,0.351
324,324,Victoria Park,29,0.724
93,93,Parkview Hills,24,0.833
600,,,6,0.500
203,203,High Park,1,1.000
